USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         2  0.0  0.0      0     0 ?        S    03:07   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    03:07   0:01  \_ [ksoftirqd/0]
root         4  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [kworker/0:0]
root         5  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S    03:07   0:01  \_ [rcu_sched]
root         8  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [rcu_bh]
root         9  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [migration/0]
root        10  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [watchdog/0]
root        11  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [khelper]
root        12  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [kdevtmpfs]
root        13  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [netns]
root        14  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [xenwatch]
root        15  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [xenbus]
root        16  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [khungtaskd]
root        17  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [writeback]
root        18  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [ksmd]
root        19  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [crypto]
root        20  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [kintegrityd]
root        21  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [bioset]
root        22  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [kblockd]
root        23  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [ata_sff]
root        24  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [khubd]
root        25  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [md]
root        26  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [devfreq_wq]
root        27  0.0  0.0      0     0 ?        S    03:07   0:03  \_ [kworker/0:1]
root        30  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [kswapd0]
root        31  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [fsnotify_mark]
root        32  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [ecryptfs-kthrea]
root        44  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [kthrotld]
root        47  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [khvcd]
root        48  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [ipv6_addrconf]
root        67  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [deferwq]
root        68  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [charger_manager]
root       193  0.0  0.0      0     0 ?        S    03:07   0:00  \_ [jbd2/xvda1-8]
root       194  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [ext4-rsv-conver]
root       242  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [spl_kmem_cache/]
root       243  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [spl_kmem_cache/]
root       244  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [spl_kmem_cache/]
root       245  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [spl_kmem_cache/]
root       246  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [spl_system_task]
root       247  0.0  0.0      0     0 ?        S<   03:07   0:01  \_ [arc_adapt]
root       248  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [vdev_file_taskq]
root       249  0.0  0.0      0     0 ?        S<   03:07   0:00  \_ [l2arc_feed]
root       250  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [z_unmount/0]
root       251  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/0]
root       252  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/1]
root       253  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/2]
root       254  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/3]
root       255  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/4]
root       256  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/5]
root       257  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/6]
root       258  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/7]
root       259  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/8]
root       260  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/9]
root       261  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/10]
root       262  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/11]
root       263  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/12]
root       264  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/13]
root       265  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/14]
root       266  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/15]
root       267  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/16]
root       268  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/17]
root       269  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/18]
root       270  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/19]
root       271  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/20]
root       272  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/21]
root       273  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/22]
root       274  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/23]
root       275  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/24]
root       276  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/25]
root       277  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/26]
root       278  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/27]
root       279  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/28]
root       280  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/29]
root       281  0.0  0.0      0     0 ?        SN   03:07   0:00  \_ [zvol/30]
